codigo_ibg,UF,MUNIC,DMU,Score,Beta,Área_prop,Orient_tecn,Queimada,Agricultura_ organ,Trabalho_infantil,Laço_parentesco,Financiamento,Sabem_ ler,Köppen,Altitude,T_Mean,R_Mean,X,Y
1502756,Pará,      Concórdia do Pará,191,0.788393,0.268403,0.95,0.00,1.00,0.03,0.02,0.95,0.87,0.39,Af,41.38,27.83,231.76,-47.9700,-1.8800
1502764,Pará,      Cumaru do Norte,192,0.801952,0.2469574,0.95,0.00,1.00,0.00,0.14,0.68,0.78,0.37,Am,356.77,26.33,187.69,-51.2200,-8.4600
1502772,Pará,      Curionópolis,193,0.63416,0.5768885,1.00,0.00,1.00,0.01,0.02,0.93,0.93,0.24,Am,254.67,26.94,177.44,-49.6200,-6.2300
1502806,Pará,      Curralinho,194,0.636,0.5723264,0.88,0.00,1.00,0.00,0.04,0.91,0.96,0.38,Af,18.13,27.92,231.07,-49.9900,-1.5800
1502855,Pará,      Curuá,195,0.785936,0.2723688,0.99,0.00,1.00,0.00,0.05,0.90,0.92,0.68,Am,18.58,27.64,166.43,-55.1100,-1.8500
1502905,Pará,      Curuçá,196,1,0,0.96,0.00,1.00,0.00,0.04,0.91,0.95,0.38,Am,20.54,27.80,247.48,-47.8600,-0.7400
1502939,Pará,      Dom Eliseu,197,0.743498,0.3449937,0.96,0.00,1.00,0.01,0.03,0.91,0.94,0.40,Aw,202.80,27.14,155.19,-47.9000,-4.1900
1502954,Pará,      Eldorado dos Carajás,198,0.825422,0.2115022,0.95,0.00,1.00,0.00,0.09,0.81,0.83,0.41,Am,152.43,27.44,168.75,-49.2500,-6.0700
1503002,Pará,      Faro,199,0.832991,0.2004932,0.98,0.10,1.00,0.00,0.02,0.95,0.95,0.69,Af,130.55,26.74,197.03,-57.8100,-1.1600
1503044,Pará,      Floresta do Araguaia,200,0.753627,0.3269158,0.98,0.01,1.00,0.00,0.07,0.83,0.84,0.43,Aw,188.68,27.19,170.73,-49.5800,-7.5500
1503077,Pará,      Garrafão do Norte,201,0.625085,0.5997823,0.94,0.00,1.00,0.00,0.03,0.93,0.92,0.64,Am,81.84,27.62,211.95,-47.0800,-2.1700
1503093,Pará,      Goianésia do Pará,202,1,0,1.00,0.00,1.00,0.00,0.02,0.94,0.95,0.41,Am,109.41,27.64,185.23,-49.0100,-4.0300
